# Renewables.ninja Solar PV (Point API) - 62.240, 25.746 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Helsinki, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Helsinki", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "62.239529280915335", "lon": "25.746290759606264", "date_from": "2012-01-01", "date_to": "2012-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2012-01-01 00:00,2012-01-01 02:00,0,0,0,-6.922
2012-01-01 01:00,2012-01-01 03:00,0,0,0,-6.878
2012-01-01 02:00,2012-01-01 04:00,0,0,0,-6.882
2012-01-01 03:00,2012-01-01 05:00,0,0,0,-7.021
2012-01-01 04:00,2012-01-01 06:00,0,0,0,-7.311
2012-01-01 05:00,2012-01-01 07:00,0,0,0,-7.613
2012-01-01 06:00,2012-01-01 08:00,0,0,0,-7.877
2012-01-01 07:00,2012-01-01 09:00,0,0,0,-7.976
2012-01-01 08:00,2012-01-01 10:00,0.012,0.011,0.011,-7.771
2012-01-01 09:00,2012-01-01 11:00,0.036,0.023,0.026,-7.056
2012-01-01 10:00,2012-01-01 12:00,0.039,0.023,0.029,-6.502
2012-01-01 11:00,2012-01-01 13:00,0.021,0.014,0.019,-6.350
2012-01-01 12:00,2012-01-01 14:00,0.001,0.003,0.003,-6.639
2012-01-01 13:00,2012-01-01 15:00,0,0,0,-6.808
2012-01-01 14:00,2012-01-01 16:00,0,0,0,-6.702
2012-01-01 15:00,2012-01-01 17:00,0,0,0,-6.429
2012-01-01 16:00,2012-01-01 18:00,0,0,0,-6.256
2012-01-01 17:00,2012-01-01 19:00,0,0,0,-6.113
2012-01-01 18:00,2012-01-01 20:00,0,0,0,-6.016
2012-01-01 19:00,2012-01-01 21:00,0,0,0,-5.912
2012-01-01 20:00,2012-01-01 22:00,0,0,0,-5.809
2012-01-01 21:00,2012-01-01 23:00,0,0,0,-5.663
2012-01-01 22:00,2012-01-02 00:00,0,0,0,-5.881
2012-01-01 23:00,2012-01-02 01:00,0,0,0,-6.117
2012-01-02 00:00,2012-01-02 02:00,0,0,0,-6.348
2012-01-02 01:00,2012-01-02 03:00,0,0,0,-6.505
2012-01-02 02:00,2012-01-02 04:00,0,0,0,-6.564
2012-01-02 03:00,2012-01-02 05:00,0,0,0,-6.520
2012-01-02 04:00,2012-01-02 06:00,0,0,0,-6.463
2012-01-02 05:00,2012-01-02 07:00,0,0,0,-6.455
2012-01-02 06:00,2012-01-02 08:00,0,0,0,-6.454
2012-01-02 07:00,2012-01-02 09:00,0,0,0,-6.429
2012-01-02 08:00,2012-01-02 10:00,0.006,0.006,0.009,-6.331
2012-01-02 09:00,2012-01-02 11:00,0.022,0.012,0.023,-6.069
2012-01-02 10:00,2012-01-02 12:00,0.027,0.013,0.026,-5.696
2012-01-02 11:00,2012-01-02 13:00,0.016,0.009,0.018,-5.618
2012-01-02 12:00,2012-01-02 14:00,0.001,0.003,0.004,-5.709
2012-01-02 13:00,2012-01-02 15:00,0,0,0,-5.835
2012-01-02 14:00,2012-01-02 16:00,0,0,0,-5.903
2012-01-02 15:00,2012-01-02 17:00,0,0,0,-5.842
2012-01-02 16:00,2012-01-02 18:00,0,0,0,-5.621
2012-01-02 17:00,2012-01-02 19:00,0,0,0,-5.435
2012-01-02 18:00,2012-01-02 20:00,0,0,0,-5.320
2012-01-02 19:00,2012-01-02 21:00,0,0,0,-5.239
2012-01-02 20:00,2012-01-02 22:00,0,0,0,-5.133
2012-01-02 21:00,2012-01-02 23:00,0,0,0,-5.038
2012-01-02 22:00,2012-01-03 00:00,0,0,0,-4.958
2012-01-02 23:00,2012-01-03 01:00,0,0,0,-4.729
2012-01-03 00:00,2012-01-03 02:00,0,0,0,-4.499
2012-01-03 01:00,2012-01-03 03:00,0,0,0,-4.309
2012-01-03 02:00,2012-01-03 04:00,0,0,0,-4.064
2012-01-03 03:00,2012-01-03 05:00,0,0,0,-3.772
2012-01-03 04:00,2012-01-03 06:00,0,0,0,-3.454
2012-01-03 05:00,2012-01-03 07:00,0,0,0,-3.139
2012-01-03 06:00,2012-01-03 08:00,0,0,0,-2.864
2012-01-03 07:00,2012-01-03 09:00,0,0,0,-2.564
2012-01-03 08:00,2012-01-03 10:00,0.002,0.002,0.007,-2.284
2012-01-03 09:00,2012-01-03 11:00,0.012,0.005,0.018,-1.935
2012-01-03 10:00,2012-01-03 12:00,0.015,0.006,0.021,-1.635
2012-01-03 11:00,2012-01-03 13:00,0.009,0.004,0.015,-1.431
2012-01-03 12:00,2012-01-03 14:00,0,0.001,0.003,-1.329
2012-01-03 13:00,2012-01-03 15:00,0,0,0,-1.183
2012-01-03 14:00,2012-01-03 16:00,0,0,0,-1.162
2012-01-03 15:00,2012-01-03 17:00,0,0,0,-1.121
2012-01-03 16:00,2012-01-03 18:00,0,0,0,-1.129
2012-01-03 17:00,2012-01-03 19:00,0,0,0,-1.196
2012-01-03 18:00,2012-01-03 20:00,0,0,0,-1.293
2012-01-03 19:00,2012-01-03 21:00,0,0,0,-1.393
2012-01-03 20:00,2012-01-03 22:00,0,0,0,-1.546
2012-01-03 21:00,2012-01-03 23:00,0,0,0,-1.655
2012-01-03 22:00,2012-01-04 00:00,0,0,0,-1.785
2012-01-03 23:00,2012-01-04 01:00,0,0,0,-1.918
2012-01-04 00:00,2012-01-04 02:00,0,0,0,-1.769
2012-01-04 01:00,2012-01-04 03:00,0,0,0,-1.720
2012-01-04 02:00,2012-01-04 04:00,0,0,0,-1.665
2012-01-04 03:00,2012-01-04 05:00,0,0,0,-1.463
2012-01-04 04:00,2012-01-04 06:00,0,0,0,-1.139
2012-01-04 05:00,2012-01-04 07:00,0,0,0,-0.839
2012-01-04 06:00,2012-01-04 08:00,0,0,0,-0.595
2012-01-04 07:00,2012-01-04 09:00,0,0,0,-0.519
2012-01-04 08:00,2012-01-04 10:00,0,0,0.003,-0.532
2012-01-04 09:00,2012-01-04 11:00,0.002,0.001,0.009,-0.527
